위반쓰레기,위반장소,위반일시
담배꽁초,삼성동 테헤란로77길14,2021-01-07 12:02
담배꽁초,삼성동 테헤란로81길10,2021-01-07 13:09
담배꽁초,삼성동 삼성로503,2021-01-07 13:15
담배꽁초,삼성동 삼성로503,2021-01-07 13:20
담배꽁초,강남역 1번출구,2022-01-10 10:40
담배꽁초,역삼동 패스트파이브,2022-01-10 11:00
담배꽁초,역삼동 강남대로84길32,2022-01-10 11:15
담배꽁초,역삼동 패스트파이브,2022-01-10 11:30
담배꽁초,강남역 1번출구,2022-01-10 11:50
담배꽁초,역삼동 강남대로406,2022-01-10 12:00
담배꽁초,역삼동 강남대로406,2022-01-10 12:05
담배꽁초,강남역 11번출구,2022-01-10 12:10
담배꽁초,역삼동 강남대로408,2022-01-10 12:20
담배꽁초,역삼동 강남대로406,2022-01-10 12:40
담배꽁초,역삼동 강남대로408,2022-01-10 14:00
담배꽁초,강남역 11번출구,2022-01-10 10:40
담배꽁초,강남역 11번출구,2022-01-10 10:43
담배꽁초,역삼동 강남대로406,2022-01-10 10:56
담배꽁초,역삼동 강남대로406,2022-01-10 11:03
담배꽁초,역삼동 강남대로406,2022-01-10 11:32
담배꽁초,역삼동 테헤란로123,2022-01-10 11:46
담배꽁초,역삼동 우리은행앞,2022-01-10 12:41
담배꽁초,역삼동 테헤란로123,2022-01-10 12:50
담배꽁초,강남역 11번출구,2022-01-10 13:50
담배꽁초,강남역 11번출구,2022-01-10 13:50
담배꽁초,강남역 11번출구,2022-01-10 13:54
담배꽁초,강남역 11번출구,2022-01-10 14:04
담배꽁초,강남역 11번출구,2022-01-10 14:14
담배꽁초,강남역 11번출구,2022-01-10 14:22
담배꽁초,강남역 11번출구,2022-01-10 14:29
담배꽁초,강남역 11번출구,2022-01-10 11:00
담배꽁초,강남역 11번출구,2022-01-10 11:15
담배꽁초,강남역 3번출구,2022-01-10 11:29
담배꽁초,강남역 11번출구,2022-01-10 11:32
담배꽁초,강남역 1번출구,2022-01-10 11:44
담배꽁초,강남역 11번출구,2022-01-10 11:55
담배꽁초,강남역 11번출구,2022-01-10 12:00
담배꽁초,강남역 11번출구,2022-01-10 12:09
담배꽁초,강남역 11번출구,2022-01-10 12:13
담배꽁초,강남역 11번출구,2022-01-10 13:45
담배꽁초,대치동 정현빌딩,2022-01-10 10:40
담배꽁초,대치동 한국문화의집,2022-01-10 12:00
담배꽁초,대치동 섬유센터뒤,2022-01-10 13:20
담배꽁초,대치동 섬유센터뒤,2022-01-10 13:50
담배꽁초,강남역 11번출구,2022-01-10 10:40
담배꽁초,강남역 11번출구,2022-01-10 10:51
담배꽁초,강남역 11번출구,2022-01-10 11:09
담배꽁초,강남역 11번출구,2022-01-10 11:30
담배꽁초,역삼동 테헤란로123,2022-01-10 11:43
담배꽁초,역삼동 테헤란로137,2022-01-10 12:40
담배꽁초,역삼동 테헤란로137,2022-01-10 12:45
담배꽁초,역삼동 테헤란로101,2022-01-10 13:15
담배꽁초,강남역 11번출구,2022-01-10 13:17
담배꽁초,강남역 11번출구,2022-01-10 13:23
담배꽁초,강남역 11번출구,2022-01-10 13:30
담배꽁초,강남역 11번출구,2022-01-10 13:35
담배꽁초,강남역 11번출구,2022-01-10 13:48
담배꽁초,강남역 11번출구,2022-01-10 13:58
담배꽁초,강남역 11번출구,2022-01-10 14:08
담배꽁초,삼성동 삼성로508,2022-01-10 14:20
담배꽁초,삼성동 삼성로508,2022-01-10 10:53
담배꽁초,삼성동 테헤란로,2022-01-10 14:45
담배꽁초,삼성동 골든타워,2022-01-10 11:10
담배꽁초,삼성동 봉은사로68길75,2022-01-10 11:55
담배꽁초,삼성동 테헤란로83길11,2022-01-10 13:55
담배꽁초,역삼동 패스트파이브,2022-01-10 10:47
담배꽁초,강남역 1번출구,2022-01-10 11:16
담배꽁초,역삼동 강남대로406,2022-01-10 12:02
담배꽁초,역삼동 강남대로406,2022-01-10 12:11
담배꽁초,대치동 섬유센터 ,2022-01-10 11:05
담배꽁초,대치동 섬유센터 ,2022-01-10 11:07
담배꽁초,대치동 KT&G,2022-01-10 11:20
담배꽁초,대치동 섬유센터 ,2022-01-10 10:43
담배꽁초,대치동 섬유센터 ,2022-01-10 11:00
담배꽁초,대치동 메트로칸,2022-01-10 14:20
담배꽁초,대치동 NH농협,2022-01-10 12:20
담배꽁초,대치동 메트로칸,2022-01-10 13:05
담배꽁초,대치동 한국문화의집,2022-01-10 13:30
담배꽁초,대치동 한국문화의집,2022-01-10 13:35
담배꽁초,삼성동 삼성로508,2022-01-10 10:46
담배꽁초,삼성동 테헤란로81길16,2022-01-10 10:57
